mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,spectral_centroid,spectral_bandwidth,zero_crossing_rate,label
-369.94662,99.44055,41.776276,19.360182,-3.1870475,-19.746565,-32.300846,-38.2113,-37.88377,-31.765232,-21.853687,-9.960794,1.54952,0.4299867,0.22301935,0.28592646,0.12677029,0.011766309,0.0051714214,0.004799739,0.009510662,0.06868545,0.20038813,0.2046476,0.35438722,964.712314169498,1314.5180170202002,0.023398414841937356,normal
-372.9117,99.5628,42.59027,19.772861,-2.5808666,-18.974201,-31.549555,-37.644627,-37.674046,-32.0338,-22.571165,-11.039606,0.3304995,0.38207614,0.1857279,0.26320726,0.08961526,0.0091223745,0.005052351,0.005266995,0.01316175,0.09821065,0.22909601,0.2337166,0.4041692,934.9138187195388,1264.7325049260985,0.023176932279582365,normal
-369.42322,99.30059,41.897984,18.422806,-5.168576,-22.251772,-34.63447,-39.728065,-38.11529,-30.587793,-19.469633,-6.8561316,4.7585077,0.3615378,0.23581612,0.4219607,0.18709166,0.014843027,0.0053776,0.004586714,0.009051843,0.06908554,0.19662201,0.15972954,0.23374175,987.6216815552946,1319.5543993713338,0.023984125761310905,normal
-373.91342,99.96657,43.099434,19.368235,-3.6751728,-20.54485,-33.210667,-38.942776,-38.229446,-31.68621,-21.384075,-9.309273,2.1239343,0.33422965,0.20950165,0.36696127,0.15789744,0.01318656,0.0052416166,0.0047919997,0.010684361,0.08676791,0.24858944,0.20786066,0.28203136,939.2186125400457,1241.7060650574788,0.02353492966937355,normal
-378.8087,97.13204,42.78537,19.747099,-3.1816328,-20.2462,-33.01492,-38.887028,-38.347374,-31.984262,-21.81845,-9.8305645,1.5863148,0.26950586,0.18288058,0.39208812,0.17217879,0.013730481,0.0051200064,0.0045116893,0.009977069,0.09089049,0.26680684,0.21932909,0.27649087,921.0630850306787,1191.940927904084,0.023530398056844547,normal
-374.11163,100.099205,43.396034,19.598972,-3.444503,-20.364954,-33.078648,-38.92124,-38.306553,-31.872974,-21.658043,-9.6356535,1.7978492,0.33756703,0.2108042,0.3553828,0.15273833,0.012724394,0.005097875,0.0046964134,0.0107342675,0.090007834,0.25904402,0.2114283,0.27405328,935.9633590856121,1236.8922537782282,0.023479983867459395,normal
-374.08868,99.767494,43.234756,19.41475,-3.664198,-20.546623,-33.20517,-38.915794,-38.177006,-31.647766,-21.376842,-9.304133,2.152387,0.33119202,0.20815033,0.3663207,0.15743743,0.01296112,0.0051136757,0.00468648,0.010500542,0.086809285,0.24884449,0.20628375,0.27928403,939.3038023821961,1240.7767873293535,0.023530964508410673,normal
-377.4354,97.76796,42.662277,19.507145,-3.4305797,-20.347258,-33.036198,-38.796448,-38.179752,-31.736586,-21.515512,-9.515655,1.8892097,0.28086066,0.18794733,0.39263293,0.17236179,0.013863611,0.0052042305,0.004581913,0.009994075,0.088033505,0.2575598,0.21592759,0.28054085,927.7652068424811,1211.782347354156,0.023564385150812064,normal
-380.59702,97.69397,44.232197,20.901297,-2.1045291,-19.327198,-32.44433,-38.911396,-38.99799,-33.229607,-23.54159,-11.803902,-0.3115553,0.33092526,0.19677886,0.31518745,0.1356698,0.011780551,0.0048480825,0.004464537,0.010667799,0.101029344,0.29748672,0.23282816,0.28191432,903.776808482934,1162.4767074293661,0.023196191632830626,normal
-373.00632,100.05132,42.78708,19.119844,-3.9854784,-20.829786,-33.34044,-38.89233,-37.972805,-31.251205,-20.829342,-8.726372,2.6574905,0.323591,0.20848109,0.38465098,0.16679493,0.013509275,0.0052060187,0.004684842,0.010215008,0.0827419,0.23745814,0.20116931,0.27796197,947.0279740157131,1257.8668216564665,0.023630659984048723,normal
